ATCOCode,ATCOCode_revised,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZWMPI,940GZZWMPI,,,,Pipers Row (Midland Metro Stop),,,,,,Pipers Row,,,,,,,E0057945,Wolverhampton,,,,,,,1,UKOS,391778,298610,-2.1227781,52.5852367,MET,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZWMWR,940GZZWMWR,,,,Wolverhampton Station (Midland Metro Stop),,,,,,Railway Drive,,,,,,,E0057945,Wolverhampton,,,,,,,1,UKOS,391993,298832,-2.1196118,52.5872341,MET,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZWMPI1,940GZZWMPI1,nwmwjatw,,,Pipers Row (Midland Metro Stop),,,,,,Pipers Row,,,,Platform 1,,,E0057945,Wolverhampton,,,,,,,0,UKOS,391776,298608,-2.1228074,52.5852164,PLT,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZWMPI2,940GZZWMPI2,nwmwjawa,,,Pipers Row (Midland Metro Stop),,,,,,Pipers Row,,,,Platform 2,,,E0057945,Wolverhampton,,,,,,,0,UKOS,391781,298612,-2.1227444,52.5852473,PLT,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZWMWR1,940GZZWMWR1,nwmwjawd,,,Wolverhampton Station (Midland Metro Stop),,,,,,Railway Drive,,,,Platform 1,,,E0057945,Wolverhampton,,,,,,,0,UKOS,391997,298833,-2.119558,52.5872444,PLT,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZALGWP,940GZZALGWP,,,,IFS Cloud Greenwich Peninsula,,,,,,East Parkside,,,,,,,N0077702,North Greenwich,London,,,,,,0,UKOS,539500,179760,0.008339807,51.49957304,MET,,,,,,147,2012-03-21T14:29:00,2022-07-14T13:13:00,4,revise,active
9400ZZALGWP1,940GZZALGWP1,,,,IFS Cloud Greenwich Peninsula,,,,,,East Parkside,,,,,,,N0077702,North Greenwich,London,,,,,,0,UKOS,539502,179758,0.008367812,51.49955458,PLT,,,,,,147,2012-03-21T14:32:00,2022-07-14T13:16:00,4,revise,active
9400ZZALRDK,940GZZALRDK,,,,IFS Cloud Royal Docks,,,,,,Western Gateway,,,,,,,N0077713,Royal Victoria,London,,,,,,0,UKOS,540121,180690,0.017649524,51.50777645,MET,,,,,,147,2012-03-21T14:19:00,2022-07-14T11:49:00,3,revise,active
9400ZZALRDK1,940GZZALRDK1,,,,IFS Cloud Royal Docks,,,,,,Western Gateway,,,,,,,N0077713,Royal Victoria,London,,,,,,0,UKOS,540121,180685,0.017647539,51.50773152,PLT,,,,,,147,2012-03-21T14:21:00,2022-07-14T11:50:00,3,revise,active
9400ZZARAIL,940GZZARAIL,nwmgwmt,,,Birmingham Intl Rail Station (Air-Rail Link),,,,,,-,,,,,,,N0077792,Birmingham Airport,Solihull,,,,,,0,UKOS,418707,283647,-1.72616778,52.45046607,MET,,,,,,147,2013-10-15T16:06:00,2013-11-06T09:45:00,2,revise,active
