Borough,Year,Receipts
Barking & Dagenham,2012,3648
Barnet,2012,45248
Bexley,2012,56732
Brent,2012,35213
Bromley,2012,130848
Camden,2012,191431
City,2012,1012252
Croydon,2012,26112
Ealing,2012,6471
Enfield,2012,11816
Greenwich,2012,295653
Hackney,2012,19690
Hammersmith & Fulham,2012,142820
Haringey,2012,90856
Harrow,2012,14844
Havering,2012,21773
Hillingdon,2012,0
Hounslow,2012,17338
Islington,2012,134031
Kensington & Chelsea,2012,0
Kingston,2012,71450
Lambeth,2012,801201
Lewisham,2012,"24,693"
LLDC,2012,0
Merton,2012,"146,379"
Newham,2012,0
OPDC,2012,0
Redbridge,2012,"29,370"
Richmond,2012,"42,778"
Southwark,2012,"78,107"
Sutton,2012,"3,906"
Tower Hamlets,2012,"225,372"
Waltham Forest,2012,"10,280"
Wandsworth,2012,"333,888"
Westminster,2012,2066374
Total,2012,6090573
Barking & Dagenham,2013,221257
Barnet,2013,2422709
Bexley,2013,652540
Brent,2013,1620246
Bromley,2013,713649
Camden,2013,3335287
City,2013,4511614
Croydon,2013,340654
Ealing,2013,954183
Enfield,2013,445264
Greenwich,2013,2704875
Hackney,2013,1239002
Hammersmith & Fulham,2013,2087838
Haringey,2013,454387
Harrow,2013,438788
Havering,2013,79379
Hillingdon,2013,836061
Hounslow,2013,1870532
Islington,2013,1375481
Kensington & Chelsea,2013,543994
Kingston,2013,445484
Lambeth,2013,4218376
Lewisham,2013,"679,182"
LLDC,2013,"362,207"
Merton,2013,"523,841"
Newham,2013,"172,929"
OPDC,2013,0
Redbridge,2013,"189,257"
Richmond,2013,"213,796"
Southwark,2013,"2,175,645"
Sutton,2013,"329,923"
Tower Hamlets,2013,"3,675,034"
Waltham Forest,2013,"465,845"
Wandsworth,2013,"2,001,862"
Westminster,2013,4391886
Total,2013,46693006
Barking & Dagenham,2014,314546
Barnet,2014,3447330
Bexley,2014,497906
Brent,2014,3129950
Bromley,2014,1273726
Camden,2014,3385225
City,2014,1627033
Croydon,2014,675187
Ealing,2014,1402864
Enfield,2014,1208924
Greenwich,2014,1273114
Hackney,2014,3691268
Hammersmith & Fulham,2014,4303835
Haringey,2014,329074
Harrow,2014,664686
Havering,2014,312081
Hillingdon,2014,856121
Hounslow,2014,2916428
Islington,2014,3856864
Kensington & Chelsea,2014,1605110
Kingston,2014,102255
Lambeth,2014,4395274
Lewisham,2014,"400,547"
LLDC,2014,"1,872,888"
Merton,2014,"796,637"
Newham,2014,"2,034,709"
OPDC,2014,0
Redbridge,2014,"300,904"
Richmond,2014,"715,930"
Southwark,2014,"6,886,455"
Sutton,2014,"319,142"
Tower Hamlets,2014,"4,756,495"
Waltham Forest,2014,"772,910"
Wandsworth,2014,"5,732,401"
Westminster,2014,7329079
Total,2014,73186895
Barking & Dagenham,2015,307834
