Station,Zone,Postcode,Latitude,Longitude,Easting,Northing
Abbey Road,3,E15 3NB,51.531952,0.003723,539081,183352
Abbey Wood,4,SE2 9RH,51.490784,0.120272,547297,179002
Acton Central,2,W3 6BH,51.508757,-0.26343,520613,180299
Acton Main Line,3,W3 9EH,51.516886,-0.26769,520296,181196
Acton Town,3,W3 8HN,51.503071,-0.280303,519457,179639
Addington Village,"3,4,5,6",CR0 5AR,51.356239,-0.032665,537082,163744
Addiscombe,"3,4,5,6",CR0 7AA,51.379808,-0.073213,534190,166290
Albany Park,5,DA5 3HP,51.435816,0.126445,547903,172902
Aldgate,1,EC3N 1AH,51.514342,-0.075627,533629,181246
Aldgate East,1,E1 7PT,51.515082,-0.073001,533809,181333
Alexandra Palace,3,N22 7ST,51.598263,-0.120149,530300,190498
All Saints,2,E14 0EH,51.510477,-0.012625,538012,180933
Alperton,4,HA0 4LL,51.541209,-0.299516,518025,183849
Amersham,9,HP6 5AZ,51.674128,-0.606514,496454,198181
Ampere Way,"3,4,5,6",CR0 3JX,51.382299,-0.123637,530674,166476
Anerley,4,SE20 8PY,51.412517,-0.065137,534656,169942
Angel,1,N1 8XB,51.532968,-0.105581,531497,183263
Angel Road,4,N18 3AY,51.61242,-0.048733,535204,192202
Archway,"2,3",N19 5RQ,51.56549,-0.135122,529356,186827
Arena,"3,4,5,6",SE25 4RY,51.391523,-0.058319,535192,167620
Arnos Grove,4,N11 1AN,51.61623,-0.13427,529271,192471
Arsenal,2,N5 1LP,51.558541,-0.1055,531429,186107
Avenue Road,"3,4,5,6",BR3 4NJ,51.406798,-0.049447,535764,169335
Baker Street,1,NW1 5LA,51.523129,-0.156904,527965,182078
Balham,3,SW12 9SG,51.443182,-0.152685,528482,173195
Bank,1,EC3V 3LA,51.513347,-0.089,532704,181111
Banstead,6,SM7 1RB,51.329293,-0.213132,524590,160426
Barbican,1,EC1A 4JA,51.520215,-0.097722,532079,181859
Barking,4,IG11 8TU,51.539521,0.080832,544405,184343
Barking Riverside,4,IG11 0BF,51.519112,0.114769,546824,182141
Barkingside,4,IG6 1NB,51.585851,0.088477,544788,189510
Barnehurst,6,DA7 6HQ,51.464781,0.160948,550206,176193
