Borough,pct households without car
Barking and Dagenham,34.8
Barnet,29.9
Bexley,22.4
Brent,44.1
Bromley,22.4
Camden,63.6
City of London,77.2
Croydon,33.6
Ealing,36.8
Enfield,31
Greenwich,43.1
Hackney,64.9
Hammersmith and Fulham,57.5
Haringey,52.7
Harrow,24.7
Havering,21.5
Hillingdon,22.3
Hounslow,32.8
Islington,66.9
Kensington and Chelsea,58.3
Kingston upon Thames,25.7
Lambeth,58
Lewisham,47.7
Merton,33
Newham,51.7
Redbridge,27.5
Richmond upon Thames,25.4
Southwark,60.3
Sutton,22.8
Tower Hamlets,66.4
Waltham Forest,42.1
Wandsworth,47.9
Westminster,66.2
