Area,Type,Deprived
E02000313,MSOA,66.2
Barking and Dagenham,Borough,62.5
Newham,Borough,60.7
Brent,Borough,60
Enfield,Borough,57.9
Haringey,Borough,56.8
E02000314,MSOA,56.2
Hounslow,Borough,55.9
Hackney,Borough,55.1
Waltham Forest,Borough,54.8
Hillingdon,Borough,54.2
Ealing,Borough,54.1
Redbridge,Borough,53.8
Tower Hamlets,Borough,53.6
E02000746,MSOA,52.9
Lewisham,Borough,52.8
Havering,Borough,52.7
Camden,Borough,52.5
Croydon,Borough,51.9
Greenwich,Borough,51.8
Islington,Borough,51.7
Bexley,Borough,51.4
Southwark,Borough,51.4
Harrow,Borough,51.3
Barnet,Borough,50.3
Lambeth,Borough,50
Westminster,Borough,49.8
Sutton,Borough,49.1
Hammersmith and Fulham,Borough,48.7
Kensington and Chelsea,Borough,47.4
Merton,Borough,46.1
Bromley,Borough,45.3
Kingston upon Thames,Borough,44.2
Wandsworth,Borough,41.7
City of London,Borough,40.3
Richmond upon Thames,Borough,39.1
