MSOAC,MSOAHOCLN,LAD19C,LAD19N,REG,LSOACOUNT,POPMID15,IMD19 SCORE,MSOARANK,MSOADECILE,MSOAQUINTILE
E02000001,City of London,E09000001,City of London,London,6,6687,14.72048422,4198,7,4
E02000002,Marks Gate,E09000002,Barking and Dagenham,London,4,7379,34.76755983,1060,2,1
E02000003,Chadwell Heath East,E09000002,Barking and Dagenham,London,6,10720,25.14972593,2200,4,2
E02000004,Eastbrookend,E09000002,Barking and Dagenham,London,4,6536,23.56004437,2429,4,2
E02000005,Becontree Heath,E09000002,Barking and Dagenham,London,5,9243,30.21296538,1519,3,2
E02000007,Central Park & Frizlands Lane,E09000002,Barking and Dagenham,London,5,9664,36.00746327,965,2,1
E02000008,Becontree East,E09000002,Barking and Dagenham,London,7,12282,34.449585,1088,2,1
E02000009,Becontree West,E09000002,Barking and Dagenham,London,6,10504,36.33654627,945,2,1
E02000010,Dagenham North,E09000002,Barking and Dagenham,London,5,9091,34.49335915,1083,2,1
E02000011,Dagenham Eastbrook,E09000002,Barking and Dagenham,London,4,6761,25.71396879,2122,4,2
E02000012,Longbridge & Barking Park,E09000002,Barking and Dagenham,London,5,10858,20.63216642,2925,5,3
E02000013,Becontree South,E09000002,Barking and Dagenham,London,5,8771,36.09122609,959,2,1
E02000014,Dagenham Central,E09000002,Barking and Dagenham,London,6,9618,36.55000135,928,2,1
E02000015,Old Dagenham Park & Village,E09000002,Barking and Dagenham,London,4,7784,39.60161035,735,2,1
E02000016,Barking Central,E09000002,Barking and Dagenham,London,4,8885,33.66113101,1151,2,1
E02000017,Barking East,E09000002,Barking and Dagenham,London,5,8903,27.27058677,1901,3,2
E02000018,Mayesbrook Park & Rippleside,E09000002,Barking and Dagenham,London,5,9526,36.41188684,937,2,1
E02000019,Goresbrook & Scrattons Farm,E09000002,Barking and Dagenham,London,5,9074,32.06529403,1337,2,1
E02000020,Creekmouth & Barking Riverside,E09000002,Barking and Dagenham,London,5,11779,33.22273173,1205,2,1
E02000021,Rylands Estate & Dagenham Dock,E09000002,Barking and Dagenham,London,5,8739,31.82347889,1368,3,2
E02000022,Gascoigne Estate & Roding Riverside,E09000002,Barking and Dagenham,London,5,8671,38.64612501,809,2,1
E02000023,Thames View,E09000002,Barking and Dagenham,London,4,7587,39.06830407,779,2,1
E02000024,High Barnet & Hadley,E09000003,Barnet,London,6,10915,9.191532295,5767,9,5
E02000025,Hadley Wood,E09000003,Barnet,London,5,8420,15.93263444,3893,6,3
E02000026,Oak Hill,E09000003,Barnet,London,4,6563,10.84753756,5275,8,4
E02000027,Ducks Island & Underhill,E09000003,Barnet,London,6,10071,22.82809512,2532,4,2
E02000028,New Barnet West,E09000003,Barnet,London,4,6516,12.80765408,4738,7,4
E02000029,New Barnet Town & East Barnet,E09000003,Barnet,London,5,8939,16.01065153,3872,6,3
E02000030,Totteridge & Barnet Gate,E09000003,Barnet,London,6,9325,13.46405834,4534,7,4
E02000031,Oakleigh Park,E09000003,Barnet,London,5,7239,8.982775245,5820,9,5
E02000032,Osidge,E09000003,Barnet,London,5,7711,8.446300999,5957,9,5
E02000033,Brunswick Park Road,E09000003,Barnet,London,5,8931,17.06347979,3623,6,3
E02000034,Whetstone East,E09000003,Barnet,London,5,8894,12.8238987,4730,7,4
E02000035,Woodside Park,E09000003,Barnet,London,5,8573,13.70204503,4480,7,4
E02000036,Edgware East,E09000003,Barnet,London,6,11511,16.32370046,3792,6,3
E02000037,Edgware Park,E09000003,Barnet,London,6,9712,11.12815846,5205,8,4
E02000038,Friern Barnet,E09000003,Barnet,London,6,11379,15.5682248,3974,6,3
E02000039,Mill Hill Park,E09000003,Barnet,London,4,7045,10.70296309,5333,8,4
E02000040,Mill Hill East,E09000003,Barnet,London,4,7404,15.44147771,4002,6,3
E02000041,Edgware Central,E09000003,Barnet,London,5,9507,18.28472052,3384,5,3
E02000042,North Finchley,E09000003,Barnet,London,6,11626,15.16275718,4073,6,3
