MSOA code,MSOA name,Local authority code,Local authority name,Region code,Region name,Net annual income (£),Upper confidence limit (£),Lower confidence limit (£),Confidence interval (£)
E02000313,Greenwich 001,E09000011,Greenwich,E12000007,London," 29,200 "," 33,900 "," 25,000 "," 8,900 "
E02000314,Greenwich 002,E09000011,Greenwich,E12000007,London," 39,100 "," 45,200 "," 33,800 "," 11,400 "
E02000315,Greenwich 003,E09000011,Greenwich,E12000007,London," 31,800 "," 36,800 "," 27,500 "," 9,300 "
E02000316,Greenwich 004,E09000011,Greenwich,E12000007,London," 38,200 "," 44,400 "," 33,000 "," 11,400 "
E02000317,Greenwich 005,E09000011,Greenwich,E12000007,London," 36,400 "," 42,200 "," 31,300 "," 10,900 "
E02000318,Greenwich 006,E09000011,Greenwich,E12000007,London," 33,400 "," 38,700 "," 28,900 "," 9,800 "
E02000319,Greenwich 007,E09000011,Greenwich,E12000007,London," 34,600 "," 40,100 "," 29,800 "," 10,300 "
E02000320,Greenwich 008,E09000011,Greenwich,E12000007,London," 36,300 "," 42,100 "," 31,300 "," 10,800 "
E02000321,Greenwich 009,E09000011,Greenwich,E12000007,London," 29,500 "," 34,300 "," 25,400 "," 8,900 "
E02000323,Greenwich 011,E09000011,Greenwich,E12000007,London," 34,700 "," 40,300 "," 30,000 "," 10,300 "
E02000324,Greenwich 012,E09000011,Greenwich,E12000007,London," 37,700 "," 43,700 "," 32,500 "," 11,200 "
E02000326,Greenwich 014,E09000011,Greenwich,E12000007,London," 43,700 "," 50,400 "," 37,900 "," 12,500 "
E02000327,Greenwich 015,E09000011,Greenwich,E12000007,London," 33,000 "," 38,200 "," 28,400 "," 9,800 "
E02000328,Greenwich 016,E09000011,Greenwich,E12000007,London," 48,900 "," 57,200 "," 41,900 "," 15,300 "
E02000329,Greenwich 017,E09000011,Greenwich,E12000007,London," 36,000 "," 41,600 "," 31,200 "," 10,400 "
E02000331,Greenwich 019,E09000011,Greenwich,E12000007,London," 38,800 "," 44,800 "," 33,600 "," 11,200 "
E02000332,Greenwich 020,E09000011,Greenwich,E12000007,London," 43,600 "," 50,400 "," 37,700 "," 12,700 "
E02000333,Greenwich 021,E09000011,Greenwich,E12000007,London," 51,400 "," 59,900 "," 44,100 "," 15,800 "
E02000334,Greenwich 022,E09000011,Greenwich,E12000007,London," 41,400 "," 48,600 "," 35,200 "," 13,400 "
E02000335,Greenwich 023,E09000011,Greenwich,E12000007,London," 45,000 "," 51,900 "," 38,900 "," 13,000 "
E02000337,Greenwich 025,E09000011,Greenwich,E12000007,London," 37,400 "," 43,200 "," 32,400 "," 10,800 "
E02000339,Greenwich 027,E09000011,Greenwich,E12000007,London," 44,600 "," 51,600 "," 38,500 "," 13,100 "
E02000340,Greenwich 028,E09000011,Greenwich,E12000007,London," 40,200 "," 46,400 "," 34,800 "," 11,600 "
E02000341,Greenwich 029,E09000011,Greenwich,E12000007,London," 34,800 "," 40,300 "," 30,100 "," 10,200 "
E02000342,Greenwich 030,E09000011,Greenwich,E12000007,London," 37,200 "," 42,900 "," 32,200 "," 10,700 "
E02000343,Greenwich 031,E09000011,Greenwich,E12000007,London," 39,000 "," 45,100 "," 33,700 "," 11,400 "
E02000344,Greenwich 032,E09000011,Greenwich,E12000007,London," 40,900 "," 47,200 "," 35,300 "," 11,900 "
E02006786,Greenwich 033,E09000011,Greenwich,E12000007,London," 34,000 "," 39,300 "," 29,400 "," 9,900 "
E02006927,Greenwich 034,E09000011,Greenwich,E12000007,London," 37,800 "," 44,000 "," 32,500 "," 11,500 "
E02006928,Greenwich 035,E09000011,Greenwich,E12000007,London," 38,500 "," 45,200 "," 32,800 "," 12,400 "
E02006929,Greenwich 036,E09000011,Greenwich,E12000007,London," 39,000 "," 45,700 "," 33,200 "," 12,500 "
E02006930,Greenwich 037,E09000011,Greenwich,E12000007,London," 40,000 "," 47,100 "," 34,000 "," 13,100 "
E02006931,Greenwich 038,E09000011,Greenwich,E12000007,London," 37,100 "," 43,400 "," 31,700 "," 11,700 "
E02000714,Newham 001,E09000025,Newham,E12000007,London," 39,400 "," 45,500 "," 34,100 "," 11,400 "
E02000715,Newham 002,E09000025,Newham,E12000007,London," 30,600 "," 35,600 "," 26,300 "," 9,300 "
E02000716,Newham 003,E09000025,Newham,E12000007,London," 38,200 "," 44,400 "," 32,800 "," 11,600 "
E02000717,Newham 004,E09000025,Newham,E12000007,London," 33,000 "," 38,400 "," 28,400 "," 10,000 "
E02000718,Newham 005,E09000025,Newham,E12000007,London," 33,300 "," 38,800 "," 28,600 "," 10,200 "
E02000719,Newham 006,E09000025,Newham,E12000007,London," 38,300 "," 44,400 "," 33,100 "," 11,300 "
E02000720,Newham 007,E09000025,Newham,E12000007,London," 38,800 "," 45,000 "," 33,500 "," 11,500 "
E02000721,Newham 008,E09000025,Newham,E12000007,London," 34,700 "," 40,100 "," 30,000 "," 10,100 "
E02000722,Newham 009,E09000025,Newham,E12000007,London," 39,000 "," 45,100 "," 33,700 "," 11,400 "
E02000723,Newham 010,E09000025,Newham,E12000007,London," 37,700 "," 43,900 "," 32,500 "," 11,400 "
E02000724,Newham 011,E09000025,Newham,E12000007,London," 34,800 "," 40,500 "," 29,800 "," 10,700 "
E02000725,Newham 012,E09000025,Newham,E12000007,London," 41,300 "," 47,700 "," 35,600 "," 12,100 "
E02000726,Newham 013,E09000025,Newham,E12000007,London," 49,400 "," 58,200 "," 41,900 "," 16,300 "
E02000727,Newham 014,E09000025,Newham,E12000007,London," 33,800 "," 39,300 "," 29,000 "," 10,300 "
E02000728,Newham 015,E09000025,Newham,E12000007,London," 39,800 "," 46,700 "," 34,000 "," 12,700 "
E02000729,Newham 016,E09000025,Newham,E12000007,London," 41,800 "," 49,300 "," 35,400 "," 13,900 "
E02000730,Newham 017,E09000025,Newham,E12000007,London," 35,400 "," 41,000 "," 30,500 "," 10,500 "
E02000731,Newham 018,E09000025,Newham,E12000007,London," 33,400 "," 38,800 "," 28,800 "," 10,000 "
E02000732,Newham 019,E09000025,Newham,E12000007,London," 33,400 "," 38,900 "," 28,700 "," 10,200 "
E02000733,Newham 020,E09000025,Newham,E12000007,London," 32,700 "," 38,100 "," 28,100 "," 10,000 "
E02000734,Newham 021,E09000025,Newham,E12000007,London," 33,800 "," 39,200 "," 29,200 "," 10,000 "
E02000735,Newham 022,E09000025,Newham,E12000007,London," 33,900 "," 39,200 "," 29,300 "," 9,900 "
E02000736,Newham 023,E09000025,Newham,E12000007,London," 34,800 "," 40,500 "," 30,000 "," 10,500 "
E02000737,Newham 024,E09000025,Newham,E12000007,London," 37,400 "," 43,400 "," 32,200 "," 11,200 "
E02000738,Newham 025,E09000025,Newham,E12000007,London," 37,200 "," 43,200 "," 32,000 "," 11,200 "
E02000739,Newham 026,E09000025,Newham,E12000007,London," 35,400 "," 41,200 "," 30,500 "," 10,700 "
E02000740,Newham 027,E09000025,Newham,E12000007,London," 33,400 "," 38,700 "," 28,900 "," 9,800 "
E02000741,Newham 028,E09000025,Newham,E12000007,London," 37,100 "," 43,500 "," 31,700 "," 11,800 "
E02000742,Newham 029,E09000025,Newham,E12000007,London," 34,700 "," 40,400 "," 29,800 "," 10,600 "
E02000743,Newham 030,E09000025,Newham,E12000007,London," 31,900 "," 37,100 "," 27,300 "," 9,800 "
E02000744,Newham 031,E09000025,Newham,E12000007,London," 35,100 "," 40,700 "," 30,400 "," 10,300 "
E02000745,Newham 032,E09000025,Newham,E12000007,London," 43,300 "," 50,600 "," 37,000 "," 13,600 "
E02000746,Newham 033,E09000025,Newham,E12000007,London," 38,200 "," 44,600 "," 32,700 "," 11,900 "
E02000747,Newham 034,E09000025,Newham,E12000007,London," 40,800 "," 47,400 "," 35,100 "," 12,300 "
E02000748,Newham 035,E09000025,Newham,E12000007,London," 44,300 "," 52,100 "," 37,600 "," 14,500 "
E02000749,Newham 036,E09000025,Newham,E12000007,London," 35,100 "," 40,600 "," 30,300 "," 10,300 "
E02000750,Newham 037,E09000025,Newham,E12000007,London," 44,700 "," 51,800 "," 38,500 "," 13,300 "
