Original Name,Cleaned Name,Href,Crime Data,NAME,NETWORK
Abbey Road (DLR),Abbey Road (DLR),/data/9267080,5,Abbey Road,DLR
Acton Town (LU Station),Acton Town (LU Station),/data/6033747,27,Acton Town,London Underground
Aldgate (LU Station),Aldgate (LU Station),/data/9283850,14,Aldgate,London Underground
Aldgate East (LU Station),Aldgate East (LU Station),/data/9249834,42,Aldgate East,London Underground
All Saints (DLR),All Saints (DLR),/data/9249838,9,All Saints,DLR
Alperton (LU Station),Alperton (LU Station),/data/9257175,6,Alperton,London Underground
Amersham (LU Station),Amersham (LU Station),/data/8200559,1,Amersham,London Underground
Angel (LU Station),Angel (LU Station),/data/8562249,36,Angel,London Underground
Archway (LU Station),Archway (LU Station),/data/9259892,16,Archway,London Underground
Arnos Grove (LU Station),Arnos Grove (LU Station),/data/6482480,8,Arnos Grove,London Underground
Arsenal (LU Station),Arsenal (LU Station),/data/6626121,7,Arsenal,London Underground
Baker Street (LU Station),Baker Street (LU Station),/data/9281164,215,Baker Street,London Underground
Balham (LU Station),Balham (LU Station),/data/9256676,39,Balham,London Underground
Bank (DLR),Bank (DLR),/data/8407153,8,Bank,DLR
Bank (LU Station),Bank (LU Station),/data/9283432,100,Bank,London Underground
Barbican (LU Station),Barbican (LU Station),/data/9283497,17,Barbican,London Underground
Barking (LU Station),Barking (LU Station),/data/9531690,1,Barking,London Underground
Barkingside (LU Station),Barkingside (LU Station),/data/7671906,7,Barkingside,London Underground
Barons Court (LU Station),Barons Court (LU Station),/data/9253298,15,Barons Court,London Underground
Bayswater (LU Station),Bayswater (LU Station),/data/9281015,18,Bayswater,London Underground
Beckton (DLR),Beckton (DLR),/data/9261903,5,Beckton,DLR
Beckton Park (DLR),Beckton Park (DLR),/data/9262074,1,Beckton Park,DLR
Becontree (LU Station),Becontree (LU Station),/data/6350751,20,Becontree,London Underground
Belsize Park (LU Station),Belsize Park (LU Station),/data/8274533,13,Belsize Park,London Underground
Bermondsey (LU Station),Bermondsey (LU Station),/data/7212821,31,Bermondsey,London Underground
Bethnal Green (LU Station),Bethnal Green (LU Station),/data/9249891,37,Bethnal Green,London Underground
Blackfriars (LU Station),Blackfriars (LU Station),/data/9283444,18,Blackfriars,London Underground
Blackhorse Road (LU Station),Blackhorse Road (LU Station),/data/9620678,43,Blackhorse Road,London Underground
Blackwall (DLR),Blackwall (DLR),/data/8314255,3,Blackwall,DLR
Bond Street (LU Station),Bond Street (LU Station),/data/9281005,202,Bond Street,London Underground
Borough (LU Station),Borough (LU Station),/data/9788306,20,Borough,London Underground
Boston Manor (LU Station),Boston Manor (LU Station),/data/7335997,5,Boston Manor,London Underground
Bounds Green (LU Station),Bounds Green (LU Station),/data/7676452,9,Bounds Green,London Underground
Bow Church (DLR),Bow Church (DLR),/data/9249835,11,Bow Church,DLR
Bow Road (LU Station),Bow Road (LU Station),/data/9250058,26,Bow Road,London Underground
Brent Cross (LU Station),Brent Cross (LU Station),/data/6427344,26,Brent Cross,London Underground
Brixton (LU Station),Brixton (LU Station),/data/7692886,124,Brixton,London Underground
Bromley By Bow (LU Station),Bromley By Bow (LU Station),/data/9249987,17,Bromley By Bow,London Underground
Buckhurst Hill (LU Station),Buckhurst Hill (LU Station),/data/9188107,11,Buckhurst Hill,London Underground
Burnt Oak (LU Station),Burnt Oak (LU Station),/data/6444665,17,Burnt Oak,London Underground
Caledonian Road (LU Station),Caledonian Road (LU Station),/data/8508829,19,Caledonian Road,London Underground
Camden Town (LU Station),Camden Town (LU Station),/data/9248892,140,Camden Town,London Underground
Canada Water (LU Station),Canada Water (LU Station),/data/6826756,84,Canada Water,London Underground
Canary Wharf (DLR),Canary Wharf (DLR),/data/9566498,32,Canary Wharf,DLR
Canary Wharf (LU Station),Canary Wharf (LU Station),/data/9250273,77,Canary Wharf,London Underground
Canning Town (DLR),Canning Town (DLR),/data/9266766,20,Canning Town,DLR
Canning Town (LU Station),Canning Town (LU Station),/data/9261815,47,Canning Town,London Underground
Cannon Street (LU Station),Cannon Street (LU Station),/data/9283443,5,Cannon Street,London Underground
Canons Park (LU Station),Canons Park (LU Station),/data/9165491,5,Canons Park,London Underground
Chalfont & Latimer (LU Station),Chalfont & Latimer (LU Station),/data/9009999,10,Chalfont & Latimer,London Underground
Chalk Farm (LU Station),Chalk Farm (LU Station),/data/9248975,15,Chalk Farm,London Underground
Chancery Lane (LU Station),Chancery Lane (LU Station),/data/9248893,15,Chancery Lane,London Underground
Charing Cross (LU Station),Charing Cross (LU Station),/data/9265688,47,Charing Cross,London Underground
Chesham (LU Station),Chesham (LU Station),/data/9282659,6,Chesham,London Underground
Chigwell (LU Station),Chigwell (LU Station),/data/8960760,2,Chigwell,London Underground
Chiswick Park (LU Station),Chiswick Park (LU Station),/data/9252201,6,Chiswick Park,London Underground
Chorleywood (LU Station),Chorleywood (LU Station),/data/9282680,12,Chorleywood,London Underground
Clapham Common (LU Station),Clapham Common (LU Station),/data/394231,17,Clapham Common,London Underground
Clapham North (LU Station),Clapham North (LU Station),/data/8011945,13,Clapham North,London Underground
Clapham South (LU Station),Clapham South (LU Station),/data/7688253,18,Clapham South,London Underground
Cockfosters (LU Station),Cockfosters (LU Station),/data/6483313,47,Cockfosters,London Underground
Colindale (LU Station),Colindale (LU Station),/data/6423115,8,Colindale,London Underground
Colliers Wood (LU Station),Colliers Wood (LU Station),/data/9254572,7,Colliers Wood,London Underground
Covent Garden (LU Station),Covent Garden (LU Station),/data/9280999,61,Covent Garden,London Underground
Crossharbour (DLR),Crossharbour (DLR),/data/9250264,6,Crossharbour,DLR
Croxley (LU Station),Croxley (LU Station),/data/9282673,5,Croxley,London Underground
Custom House (Station),Custom House (DLR),/data/9275635,23,Custom House,DLR
Cutty Sark (DLR),Cutty Sark (DLR),/data/9262296,16,Cutty Sark,DLR
Cyprus (DLR),Cyprus (DLR),/data/9261905,3,Cyprus,DLR
Dagenham East (LU Station),Dagenham East (LU Station),/data/6350448,12,Dagenham East,London Underground
Dagenham Heathway (LU Station),Dagenham Heathway (LU Station),/data/6349787,25,Dagenham Heathway,London Underground
Debden (LU Station),Debden (LU Station),/data/9283461,47,Debden,London Underground
Deptford Bridge (DLR),Deptford Bridge (DLR),/data/9726450,10,Deptford Bridge,DLR
Devons Road (DLR),Devons Road (DLR),/data/9250275,7,Devons Road,DLR
Dollis Hill (LU Station),Dollis Hill (LU Station),/data/9257244,18,Dollis Hill,London Underground
Ealing Broadway (LU Station),Ealing Broadway (LU Station),/data/9567189,36,Ealing Broadway,London Underground
Ealing Common (LU Station),Ealing Common (LU Station),/data/9252249,9,Ealing Common,London Underground
Earls Court (LU Station),Earls Court (LU Station),/data/9258158,85,Earls Court,London Underground
East Acton (LU Station),East Acton (LU Station),/data/6105959,20,East Acton,London Underground
East Finchley (LU Station),East Finchley (LU Station),/data/6425890,47,East Finchley,London Underground
East Ham (LU Station),East Ham (LU Station),/data/9261901,122,East Ham,London Underground
East India (DLR),East India (DLR),/data/9250276,3,East India,DLR
East Putney (LU Station),East Putney (LU Station),/data/6365361,5,East Putney,London Underground
Eastcote (LU Station),Eastcote (LU Station),/data/9281058,13,Eastcote,London Underground
Edgware (LU Station),Edgware (LU Station),/data/8434101,29,Edgware,London Underground
