Financial Year,Period,Line,Lost Customer Hours
2016-17,1,Bakerloo,"112,578"
2016-17,2,Bakerloo,"76,720"
2016-17,3,Bakerloo,"112,550"
2016-17,4,Bakerloo,"101,499"
2016-17,5,Bakerloo,"96,403"
2016-17,6,Bakerloo,"145,337"
2016-17,7,Bakerloo,"117,925"
2016-17,8,Bakerloo,"121,844"
2016-17,9,Bakerloo,"117,843"
2016-17,10,Bakerloo,"109,611"
2016-17,11,Bakerloo,"136,474"
2016-17,12,Bakerloo,"148,335"
2016-17,13,Bakerloo,"131,185"
2017-18,1,Bakerloo,"159,245"
2017-18,2,Bakerloo,"106,589"
2017-18,3,Bakerloo,"120,552"
2017-18,4,Bakerloo,"105,893"
2017-18,5,Bakerloo,"167,558"
2017-18,6,Bakerloo,"162,956"
2017-18,7,Bakerloo,"173,809"
2017-18,8,Bakerloo,"138,331"
2017-18,9,Bakerloo,"182,138"
2017-18,10,Bakerloo,"108,592"
2017-18,11,Bakerloo,"130,924"
2017-18,12,Bakerloo,"140,625"
2017-18,13,Bakerloo,"138,213"
2018-19,1,Bakerloo,"116,248"
2018-19,2,Bakerloo,"114,527"
2018-19,3,Bakerloo,"153,436"
2018-19,4,Bakerloo,"120,793"
2018-19,5,Bakerloo,"124,573"
2018-19,6,Bakerloo,"125,471"
2018-19,7,Bakerloo,"150,355"
2018-19,8,Bakerloo,"84,110"
2018-19,9,Bakerloo,"88,086"
2018-19,10,Bakerloo,"91,610"
2018-19,11,Bakerloo,"115,875"
2018-19,12,Bakerloo,"124,120"
2018-19,13,Bakerloo,"97,395"
2019-20,1,Bakerloo,"101,388"
2019-20,2,Bakerloo,"137,161"
2019-20,3,Bakerloo,"118,452"
2019-20,4,Bakerloo,"173,685"
2019-20,5,Bakerloo,"154,356"
2019-20,6,Bakerloo,"194,362"
2019-20,7,Bakerloo,"138,946"
2019-20,8,Bakerloo,"224,260"
2019-20,9,Bakerloo,"227,473"
2019-20,10,Bakerloo,"180,742"
2019-20,11,Bakerloo,"198,732"
2019-20,12,Bakerloo,"171,578"
2016-17,1,Central,"477,818"
2016-17,2,Central,"458,195"
2016-17,3,Central,"496,322"
2016-17,4,Central,"798,680"
2016-17,5,Central,"477,322"
2016-17,6,Central,"641,638"
2016-17,7,Central,"643,405"
2016-17,8,Central,"563,104"
2016-17,9,Central,"982,319"
2016-17,10,Central,"606,783"
2016-17,11,Central,"576,197"
2016-17,12,Central,"401,849"
2016-17,13,Central,"570,350"
2017-18,1,Central,"504,126"
2017-18,2,Central,"787,178"
2017-18,3,Central,"796,901"
2017-18,4,Central,"828,862"
2017-18,5,Central,"699,680"
2017-18,6,Central,"653,482"
2017-18,7,Central,"620,501"
2017-18,8,Central,"562,537"
2017-18,9,Central,"887,639"
2017-18,10,Central,"682,665"
2017-18,11,Central,"830,982"
2017-18,12,Central,"850,202"
2017-18,13,Central,"866,140"
2018-19,1,Central,"503,331"
2018-19,2,Central,"546,223"
2018-19,3,Central,"870,104"
2018-19,4,Central,"676,594"
2018-19,5,Central,"569,244"
2018-19,6,Central,"521,443"
2018-19,7,Central,"465,202"
2018-19,8,Central,"403,840"
2018-19,9,Central,"437,518"
2018-19,10,Central,"361,440"
2018-19,11,Central,"537,281"
2018-19,12,Central,"501,577"
2018-19,13,Central,"676,409"
2019-20,1,Central,"647,658"
2019-20,2,Central,"425,470"
2019-20,3,Central,"619,009"
2019-20,4,Central,"782,246"
2019-20,5,Central,"823,130"
2019-20,6,Central,"935,124"
2019-20,7,Central,"803,557"
2019-20,8,Central,"777,100"
2019-20,9,Central,"993,431"
2019-20,10,Central,"773,844"
2019-20,11,Central,"684,657"
2019-20,12,Central,"986,101"
2016-17,1,C&H,"192,065"
2016-17,2,C&H,"154,797"
2016-17,3,C&H,"229,491"
2016-17,4,C&H,"268,184"
2016-17,5,C&H,"223,574"
2016-17,6,C&H,"261,515"
2016-17,7,C&H,"154,909"
2016-17,8,C&H,"362,976"
2016-17,9,C&H,"313,281"
2016-17,10,C&H,"206,081"
2016-17,11,C&H,"325,371"
2016-17,12,C&H,"214,126"
2016-17,13,C&H,"134,204"
2017-18,1,C&H,"81,202"
2017-18,2,C&H,"163,232"
2017-18,3,C&H,"116,671"
2017-18,4,C&H,"149,088"
2017-18,5,C&H,"100,802"
2017-18,6,C&H,"86,296"
2017-18,7,C&H,"138,922"
2017-18,8,C&H,"115,676"
2017-18,9,C&H,"159,477"
2017-18,10,C&H,"151,449"
2017-18,11,C&H,"139,275"
2017-18,12,C&H,"135,344"
2017-18,13,C&H,"121,485"
2018-19,1,C&H,"197,638"
2018-19,2,C&H,"138,893"
2018-19,3,C&H,"115,148"
2018-19,4,C&H,"148,516"
2018-19,5,C&H,"101,049"
2018-19,6,C&H,"85,810"
2018-19,7,C&H,"135,035"
2018-19,8,C&H,"223,272"
2018-19,9,C&H,"130,186"
2018-19,10,C&H,"89,447"
2018-19,11,C&H,"108,275"
2018-19,12,C&H,"188,218"
2018-19,13,C&H,"269,571"
2019-20,1,C&H,"130,859"
2019-20,2,C&H,"207,170"
2019-20,3,C&H,"237,031"
2019-20,4,C&H,"168,445"
2019-20,5,C&H,"143,019"
2019-20,6,C&H,"161,347"
2019-20,7,C&H,"241,812"
2019-20,8,C&H,"244,075"
2019-20,9,C&H,"279,893"
2019-20,10,C&H,"98,141"
2019-20,11,C&H,"158,117"
2019-20,12,C&H,"190,248"
2016-17,1,District,"214,682"
2016-17,2,District,"169,790"
2016-17,3,District,"291,150"
2016-17,4,District,"170,682"
2016-17,5,District,"165,369"
2016-17,6,District,"192,771"
2016-17,7,District,"226,247"
2016-17,8,District,"206,213"
2016-17,9,District,"158,158"
2016-17,10,District,"184,724"
2016-17,11,District,"176,345"
2016-17,12,District,"210,151"
2016-17,13,District,"156,623"
2017-18,1,District,"139,570"
2017-18,2,District,"178,969"
2017-18,3,District,"235,381"
2017-18,4,District,"183,342"
2017-18,5,District,"235,905"
2017-18,6,District,"204,713"
2017-18,7,District,"255,163"
2017-18,8,District,"294,971"
2017-18,9,District,"250,634"
2017-18,10,District,"133,673"
2017-18,11,District,"224,246"
2017-18,12,District,"204,884"
2017-18,13,District,"221,773"
2018-19,1,District,"161,892"
2018-19,2,District,"193,946"
2018-19,3,District,"177,799"
2018-19,4,District,"229,969"
2018-19,5,District,"252,675"
2018-19,6,District,"111,145"
2018-19,7,District,"159,612"
2018-19,8,District,"207,240"
2018-19,9,District,"171,167"
2018-19,10,District,"109,534"
2018-19,11,District,"138,909"
2018-19,12,District,"185,277"
2018-19,13,District,"140,640"
2019-20,1,District,"201,479"
2019-20,2,District,"250,073"
2019-20,3,District,"215,528"
2019-20,4,District,"262,255"
2019-20,5,District,"190,310"
2019-20,6,District,"134,882"
2019-20,7,District,"377,080"
2019-20,8,District,"202,398"
2019-20,9,District,"172,337"
2019-20,10,District,"89,576"
2019-20,11,District,"134,561"
2019-20,12,District,"141,307"
2016-17,1,Jubilee,"247,373"
2016-17,2,Jubilee,"199,036"
2016-17,3,Jubilee,"228,329"
2016-17,4,Jubilee,"235,013"
2016-17,5,Jubilee,"225,339"
2016-17,6,Jubilee,"223,271"
2016-17,7,Jubilee,"147,171"
2016-17,8,Jubilee,"241,853"
2016-17,9,Jubilee,"267,090"
2016-17,10,Jubilee,"104,525"
2016-17,11,Jubilee,"300,989"
2016-17,12,Jubilee,"282,834"
