Line,Lost Customer Hours,Date
Bakerloo,"112,578",2016-04-01
Bakerloo,"76,720",2016-05-01
Bakerloo,"112,550",2016-06-01
Bakerloo,"101,499",2016-07-01
Bakerloo,"96,403",2016-08-01
Bakerloo,"145,337",2016-09-01
Bakerloo,"117,925",2016-10-01
Bakerloo,"121,844",2016-11-01
Bakerloo,"117,843",2016-12-01
Bakerloo,"109,611",2017-01-01
Bakerloo,"136,474",2017-02-01
Bakerloo,"148,335",2017-03-01
Bakerloo,"131,185",2017-03-31
Bakerloo,"159,245",2017-04-01
Bakerloo,"106,589",2017-05-01
Bakerloo,"120,552",2017-06-01
Bakerloo,"105,893",2017-07-01
Bakerloo,"167,558",2017-08-01
Bakerloo,"162,956",2017-09-01
Bakerloo,"173,809",2017-10-01
Bakerloo,"138,331",2017-11-01
Bakerloo,"182,138",2017-12-01
Bakerloo,"108,592",2018-01-01
Bakerloo,"130,924",2018-02-01
Bakerloo,"140,625",2018-03-01
Bakerloo,"138,213",2018-03-31
Bakerloo,"116,248",2018-04-01
Bakerloo,"114,527",2018-05-01
Bakerloo,"153,436",2018-06-01
Bakerloo,"120,793",2018-07-01
Bakerloo,"124,573",2018-08-01
Bakerloo,"125,471",2018-09-01
Bakerloo,"150,355",2018-10-01
Bakerloo,"84,110",2018-11-01
Bakerloo,"88,086",2018-12-01
Bakerloo,"91,610",2019-01-01
Bakerloo,"115,875",2019-02-01
Bakerloo,"124,120",2019-03-01
Bakerloo,"97,395",2019-03-31
Bakerloo,"101,388",2019-04-01
Bakerloo,"137,161",2019-05-01
Bakerloo,"118,452",2019-06-01
Bakerloo,"173,685",2019-07-01
Bakerloo,"154,356",2019-08-01
Bakerloo,"194,362",2019-09-01
Bakerloo,"138,946",2019-10-01
Bakerloo,"224,260",2019-11-01
Bakerloo,"227,473",2019-12-01
Bakerloo,"180,742",2020-01-01
Bakerloo,"198,732",2020-02-01
Bakerloo,"171,578",2020-03-01
Central,"477,818",2016-04-01
Central,"458,195",2016-05-01
Central,"496,322",2016-06-01
Central,"798,680",2016-07-01
Central,"477,322",2016-08-01
Central,"641,638",2016-09-01
Central,"643,405",2016-10-01
Central,"563,104",2016-11-01
Central,"982,319",2016-12-01
Central,"606,783",2017-01-01
Central,"576,197",2017-02-01
Central,"401,849",2017-03-01
Central,"570,350",2017-03-31
Central,"504,126",2017-04-01
Central,"787,178",2017-05-01
Central,"796,901",2017-06-01
Central,"828,862",2017-07-01
Central,"699,680",2017-08-01
Central,"653,482",2017-09-01
Central,"620,501",2017-10-01
Central,"562,537",2017-11-01
Central,"887,639",2017-12-01
Central,"682,665",2018-01-01
Central,"830,982",2018-02-01
