date,series,value
1997,Alcoholic beverages and tobacco,30546
1998,Alcoholic beverages and tobacco,31299
1999,Alcoholic beverages and tobacco,32188
2000,Alcoholic beverages and tobacco,32641
2001,Alcoholic beverages and tobacco,32726
2002,Alcoholic beverages and tobacco,32534
2003,Alcoholic beverages and tobacco,33437
2004,Alcoholic beverages and tobacco,32670
2005,Alcoholic beverages and tobacco,33592
2006,Alcoholic beverages and tobacco,35103
2007,Alcoholic beverages and tobacco,33917
2008,Alcoholic beverages and tobacco,35307
2009,Alcoholic beverages and tobacco,37995
2010,Alcoholic beverages and tobacco,37317
2011,Alcoholic beverages and tobacco,41683
2012,Alcoholic beverages and tobacco,41417
2013,Alcoholic beverages and tobacco,42660
2014,Alcoholic beverages and tobacco,41351
2015,Alcoholic beverages and tobacco,39738
2016,Alcoholic beverages and tobacco,39322
2017,Alcoholic beverages and tobacco,42314
2018,Alcoholic beverages and tobacco,44009
2019,Alcoholic beverages and tobacco,43120
2020,Alcoholic beverages and tobacco,49311
2021,Alcoholic beverages and tobacco,49654
2022,Alcoholic beverages and tobacco,47435
2023,Alcoholic beverages and tobacco,48893
1997,Alcoholic beverages,9715
1998,Alcoholic beverages,10211
1999,Alcoholic beverages,10555
2000,Alcoholic beverages,10924
2001,Alcoholic beverages,11111
2002,Alcoholic beverages,11552
2003,Alcoholic beverages,12509
2004,Alcoholic beverages,12408
2005,Alcoholic beverages,12553
2006,Alcoholic beverages,12713
2007,Alcoholic beverages,13298
2008,Alcoholic beverages,13547
2009,Alcoholic beverages,14307
2010,Alcoholic beverages,14519
2011,Alcoholic beverages,15867
2012,Alcoholic beverages,16686
2013,Alcoholic beverages,18537
2014,Alcoholic beverages,17844
2015,Alcoholic beverages,18232
2016,Alcoholic beverages,18269
2017,Alcoholic beverages,19916
2018,Alcoholic beverages,21386
2019,Alcoholic beverages,21383
2020,Alcoholic beverages,26797
2021,Alcoholic beverages,26705
2022,Alcoholic beverages,24380
2023,Alcoholic beverages,25149
1997,Spirits,2751
1998,Spirits,2741
1999,Spirits,2911
2000,Spirits,2925
2001,Spirits,2925
2002,Spirits,2922
2003,Spirits,3157
2004,Spirits,3079
2005,Spirits,3230
2006,Spirits,3169
2007,Spirits,3346
2008,Spirits,3505
2009,Spirits,3526
2010,Spirits,3739
2011,Spirits,4405
2012,Spirits,4728
2013,Spirits,5246
2014,Spirits,5015
2015,Spirits,5237
2016,Spirits,5263
2017,Spirits,5694
2018,Spirits,6225
2019,Spirits,6230
2020,Spirits,7683
2021,Spirits,7646
2022,Spirits,7070
2023,Spirits,7003
